uid,followers_count,friends_count,statuses_count,favourites_count,listed_count,name_words,screen_name_length,description_length,created_year
40585382,0.000108017256561,0.00671834706388,0.0839031957598,0.00162789976109,0.00194328587739,0.142857142857,0.692307692308,0.725,0.3
30005269,2.70787452464e-05,0.00194507363045,0.0118220902211,0.000264766416035,0.000447375166018,0.142857142857,0.384615384615,0.98125,0.3
3314758074,0.000250201935135,0.0195134806151,0.00148998445378,0.0144814818645,0.000731644802759,0.142857142857,0.923076923077,0.9,0.9
14311688,2.4909610156e-05,0.00202664123431,0.0121469366649,0.000324752557168,0.000517277535708,0.142857142857,0.923076923077,0.7125,0.2
110457801,2.07131135104e-05,0.00186507463436,0.0614407271257,0.0068425570644,0.000368152480369,0.142857142857,0.384615384615,0.94375,0.4
269062860,0.000215169694557,0.0146335418536,0.208037629151,0.000177889935773,0.0012862036023,0.285714285714,0.846153846154,0.90625,0.5
1656126090,4.39497959496e-06,0.00074665729685,0.00189604250848,0.000920476993246,1.86406319174e-05,0.0,1.0,0.5375,0.7
758669826,5.92613377643e-06,0.000919204151164,0.000536991060093,9.51504307625e-05,6.5242211711e-05,0.142857142857,0.769230769231,0.63125,0.6
21056856,6.54284865508e-05,0.000970968207458,0.0017999144792,8.27395050109e-05,0.000251648530885,0.142857142857,0.769230769231,0.9375,0.3
954363313,1.70128242386e-06,0.000103528112588,0.000293356227273,0.000140657158519,5.59218957523e-05,0.285714285714,0.615384615385,0.875,0.6
337284868,3.54292064768e-05,0.00324701807664,0.146351609813,0.0380312134783,0.000400773586225,0.428571428571,0.384615384615,0.7875,0.5
203541550,7.32969177611e-06,0.000547444110505,0.000517102502312,0.0,9.78633175665e-05,0.142857142857,0.769230769231,0.4,0.4
156333623,0.000138583630777,0.000318427376598,0.000881726061635,0.0,0.00287997763124,0.285714285714,0.615384615385,0.66875,0.4
587865313,6.18557934607e-05,0.00605639458642,0.012136992386,0.00557664263774,0.000382132954307,0.142857142857,0.769230769231,0.99375,0.6
4750028375,2.59162022567e-05,0.00343995683191,0.00016573798151,0.000287519779913,6.5242211711e-05,0.285714285714,0.692307692308,0.9875,1.0
115703194,7.64159355382e-06,0.000161566599949,0.0010756395,0.0,0.000284269636741,0.0,0.923076923077,0.4875,0.4
15475471,3.89877222134e-06,0.00156547055096,3.1490216487e-05,0.0,2.33007898968e-05,0.0,0.538461538462,0.225,0.2
2701352961,1.4999640037e-05,0.00170350803441,0.0352309227296,0.015157877318,9.32031595871e-05,0.0,0.615384615385,0.725,0.8
383978282,1.20223957952e-05,0.00147762851603,0.00178997020031,0.000601929898954,6.5242211711e-05,0.285714285714,0.692307692308,0.575,0.5
1031038448,1.55950888853e-06,0.00011607697472,0.000116016587057,1.03424381264e-05,1.86406319174e-05,0.285714285714,0.384615384615,0.925,0.6
115402745,2.06564040963e-05,0.000757637551215,0.0011303330339,4.13697525055e-06,0.000582519747419,0.142857142857,0.923076923077,0.625,0.4
168516256,3.8845948678e-06,0.000586659304668,0.00104414928351,0.00319581338105,4.19414218142e-05,0.142857142857,0.846153846154,0.86875,0.4
